رقم  السجل,حالة السجل,انشاء السجل,انتهاء السجل,رقم الرخصة,حالة الرخصة,انشاء الرخصة,انتهاء الرخصة,اسم المنشاة,التصنيف الرئيسي,التصنيف الفرعي,ص.ب,هاتف,البلدية,المنطقة,رقم الشارع,وصف الشارع,رقم المبنى,الحي,اسم الحي,كود النشاط,اسم النشاط
61497/1,نشط,23-JAN-18,05-JAN-22,146821,نشط,25-JAN-18,19-JAN-22,كاستينغ ليموزين,تجاري,مكتب تجاري,63492,+97444342695,بلدية الدوحة,26,850,المنصورة,23,23,نجمة,4921211,خدمة الليموزين
112639,نشط,11-FEB-18,10-FEB-22,151188,نشط,19-APR-18,13-APR-22,كابتانس ليموزين,تجاري,مكتب تجاري,,,بلدية الريان,53,953,ال شافي,90,65,الريان الجديد,4921211,خدمة الليموزين
113421,منتهية,26-FEB-18,26-FEB-20,152298,معلق,09-MAY-18,30-OCT-20,التاير ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,180,عثمان بن عفان,45,84,العزيزية,4921211,خدمة الليموزين
76072,نشط,15-OCT-15,13-OCT-21,111741,نشط,26-OCT-15,19-OCT-21,شركة المشاريع المتكاملة,تجاري,مكتب تجاري,15241,55061553,بلدية الريان,56,340,طريق سلوى,349,95,عين خالد,4921211,خدمة الليموزين
133896,نشط,06-MAY-19,01-NOV-21,173089,نشط,30-MAY-19,20-NOV-21,بلو كريستال ليموزين,تجاري,محل تجارى,,+97433997761,بلدية الريان,56,965,خليفات الجديدة,115,95,عين خالد,4921211,خدمة الليموزين
74441,نشط,12-AUG-15,06-FEB-22,111433,نشط,13-OCT-15,06-OCT-21,الماسـة للمواصلات,تجاري,مكتب تجاري,,+974,بلدية الدوحة,6,860,المحار,13,8,الغانم العتيق,4921211,خدمة الليموزين
68425,نشط,28-SEP-14,26-SEP-21,45893,نشط,,24-OCT-21,الخط السريع لتاجير السيارات,تجاري,مكتب تجاري,3779,44321444,بلدية الدوحة,22,342,الجزيرة,8,19,فريج بن محمود,4922901,تاجير السيارات بدون سائق
63832,منتهية,16-JAN-14,14-JAN-21,96957,معلق,,20-JAN-21,لوس انجلوس لتاجير السيارات,تجاري,محل تجارى,14666,+97455555687,بلدية الدوحة,22,930,ابن محمود,85,19,فريج بن محمود,4922901,تاجير السيارات بدون سائق
124136/1,نشط,11-NOV-18,14-OCT-21,164233,نشط,11-DEC-18,05-DEC-21,مرسين ليموزين,تجاري,مكتب تجاري,,,بلدية الريان,53,740,المعيذر,81,88,معيذر,4921211,خدمة الليموزين
125970,منتهية,20-NOV-18,19-NOV-20,168338,معلق,18-FEB-19,12-FEB-21,ليموزين الاختيار الامثل,تجاري,مكتب تجاري,,30099255,بلدية الدوحة,24,830,حطين,12,20,روضة الخيل,4921211,خدمة الليموزين
97760,منتهية,26-APR-17,22-OCT-20,136785,معلق,29-MAY-17,19-NOV-20,تاكسي الدوحه لخدمة الليموزين,تجاري,مكتب تجاري,96230,+97466764546,بلدية الريان,55,280,الفروسية,274,88,معيذر,4921211,خدمة الليموزين
127453,نشط,20-DEC-18,19-DEC-21,167345,نشط,29-JAN-19,23-JAN-22,رويال ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,32,884,الظعاين,52,29,مدينة خليفة الشمالية,4921211,خدمة الليموزين
127375/2,نشط,11-FEB-19,16-DEC-21,168279,نشط,17-FEB-19,11-FEB-22,وايت روس ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,840,التجاري,14,20,روضة الخيل,4921211,خدمة الليموزين
103647,نشط,18-SEP-17,17-SEP-21,141177,معلق,08-OCT-17,02-OCT-21,ليموزين نجمة الدوحة,تجاري,مكتب تجاري,,+974,بلدية الدوحة,25,950,بن درهم,5,21,المنصورة,4921211,خدمة الليموزين
100382,نشط,19-JUN-17,15-DEC-21,140074,معلق,30-AUG-17,20-FEB-22,امبير لخدمه الليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,790,ام الدوم,232,88,معيذر,4921211,خدمة الليموزين
92864,نشط,31-JAN-17,30-JAN-22,131938,نشط,09-MAR-17,03-MAR-22,سبكتر ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,طريق سلوى,340,95,عين خالد,4921211,خدمة الليموزين
118456,نشط,05-JUN-18,01-DEC-21,155084,نشط,17-JUL-18,07-JAN-22,ليمو ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,26,220,الطريق الدائري الثاني,69,23,نجمة,4921211,خدمة الليموزين
89847,نشط,22-NOV-16,21-NOV-21,127465,معلق,08-DEC-16,02-DEC-21,سوا ليموزين,تجاري,مكتب تجاري,,+97466840817,بلدية الريان,53,790,ام الدوم,,65,الريان الجديد,4921211,خدمة الليموزين
25445,نشط,27-NOV-02,25-NOV-21,99029,معلق,,17-OCT-21,ويى ون جروب,تجاري,مكتب تجاري,91900,55577457,بلدية الريان,55,,الفروسيه,7,88,معيذر,4921211,خدمة الليموزين
97972,نشط,01-MAY-17,27-OCT-21,136888,نشط,30-MAY-17,20-NOV-21,تيك مي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,6,948,ابن مالك,1,8,الغانم العتيق,4921211,خدمة الليموزين
98652,نشط,14-MAY-17,09-NOV-21,137086,نشط,04-JUN-17,25-NOV-21,كيو إس ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,طريق سلوى,299,97,المعمورة,4921211,خدمة الليموزين
112315,نشط,06-FEB-18,06-FEB-22,148387,نشط,26-FEB-18,21-FEB-22,الارمان ليموزين,تجاري,مكتب تجاري,,+974,بلدية الخور و الذخيرة,74,211,طريق الذخيرة,11,269,الخور,4922901,تاجير السيارات بدون سائق
105107/1,نشط,13-DEC-18,17-OCT-21,167282,معلق,28-JAN-19,22-JAN-22,يونيك ورلد ليموزين سيرفيزس,تجاري,مكتب تجاري,,+974,بلدية ام صلال,71,750,محمد بن جاسم,57,130,ام صلال علي,4921211,خدمة الليموزين
126281/1,نشط,11-FEB-19,25-NOV-21,170819,معلق,07-APR-19,28-SEP-21,طريقة سلسة ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,27,950,ام غويلينة,20,489,ام غويلينة,4921211,خدمة الليموزين
40331,نشط,07-SEP-08,06-SEP-21,65156,نشط,,05-JUL-21,ايشا للتجارة,تجاري,مكتب تجاري,,+97470703053,بلدية الخور و الذخيرة,74,211,طريق الذخيرة,9,269,الخور,4921211,خدمة الليموزين
118093,نشط,27-MAY-18,22-NOV-21,162742,معلق,21-NOV-18,15-NOV-21,جي اي اس لتاجير السيارات,تجاري,محل تجارى,,+97455507242,بلدية الريان,56,781,طريق سلوى,2,97,المعمورة,4922901,تاجير السيارات بدون سائق
55482,نشط,30-APR-12,26-OCT-21,86068,معلق,,28-OCT-21,شركة وينك ليموزين اند ترانسبورتيشن,تجاري,مكتب تجاري,,+974,بلدية الدوحة,39,340,طريق سلوى,86,39,المرقاب الجديد,4921211,خدمة الليموزين
117013,نشط,03-MAY-18,29-OCT-21,155377,معلق,23-JUL-18,13-JAN-22,ليموزين اير ترست,تجاري,مكتب تجاري,,+97450795974,بلدية الدوحة,34,362,الجزيرة العربية,75,32,مدينة خليفة الجنوبية,4921211,خدمة الليموزين
130168,نشط,14-FEB-19,13-FEB-22,168638,نشط,21-FEB-19,15-FEB-22,ليموزين الرحى,تجاري,مكتب تجاري,,,بلدية الريان,53,740,معيذر الشارع التجاري,84,88,معيذر,4921211,خدمة الليموزين
103995,منتهية,26-SEP-17,25-SEP-20,141210,معلق,09-OCT-17,03-OCT-20,ليموزين المزايا,تجاري,محل تجارى,,,بلدية الخور و الذخيرة,74,,طريق الذخيره,41,269,الخور,4921211,خدمة الليموزين
121449,نشط,15-AUG-18,10-FEB-22,162946,نشط,22-NOV-18,16-NOV-21,النقل المثالي لخدمه اللموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,35,880,الجزيرة العربية,26,33,فريج كليب,4921211,خدمة الليموزين
119550,نشط,08-JUL-18,03-JAN-22,155637,نشط,26-JUL-18,16-JAN-22,ون اور ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,5,119,حمد الكبير,72,6,براحة الجفيري,4921211,خدمة الليموزين
103898,نشط,24-SEP-17,23-SEP-21,141338,معلق,11-OCT-17,05-OCT-21,ار اي جي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,26,850,المنصوره,2,23,نجمة,4921211,خدمة الليموزين
104570,منتهية,09-OCT-17,08-OCT-20,141395,معلق,15-OCT-17,09-OCT-20,ليموزين الراشدي,تجاري,مكتب تجاري,,+97455113138,بلدية الشمال,77,800,محمد منصور الخاطر,35,366,عين سنان,4921211,خدمة الليموزين
122134,نشط,10-SEP-18,09-SEP-21,162480,نشط,19-NOV-18,13-NOV-21,الرهيب لليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,طريق سلوى,299,94,بو هامور,4921211,خدمة الليموزين
83742,نشط,19-MAY-16,18-MAY-22,182366,نشط,25-JUN-20,20-JUN-22,الاداء المتميز للمقاولات والتنظيفات وتأجير السيارات,تجاري,مكتب تجاري,q-ah22@live.com,+97477772425,بلدية الدوحة,39,808,جوعان,73,39,المرقاب الجديد,4922901,تاجير السيارات بدون سائق
107548,نشط,30-NOV-17,29-NOV-21,144673,معلق,14-DEC-17,08-DEC-21,بوبولار ليموزين,تجاري,مكتب تجاري,668,+97466848668,بلدية الدوحة,17,850,الدستور,18,14,الرفاع,4921211,خدمة الليموزين
106765,مشطوب,20-NOV-17,19-NOV-20,149869,معلق,26-MAR-18,16-SEP-20,ناشيونال ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,180,عثمان بن عفان,39,84,العزيزية,4921211,خدمة الليموزين
97513,منتهية,20-APR-17,16-OCT-20,139415,معلق,15-AUG-17,05-FEB-21,باردايز لليموزين,تجاري,مكتب تجاري,,,بلدية الريان,53,615,التوبه,77,88,معيذر,4921211,خدمة الليموزين
106535,منتهية,14-NOV-17,13-NOV-20,181869,منتهية,17-MAY-20,12-MAY-21,زاه ليموزين,تجاري,مكتب تجاري,,+97433872512,بلدية الريان,53,740,التجاري,72,88,معيذر,4921211,خدمة الليموزين
108342,نشط,13-DEC-17,12-DEC-21,145478,نشط,02-JAN-18,27-DEC-21,الرحيل ليموزين,تجاري,مكتب تجاري,,+974,بلدية الخور و الذخيرة,74,211,طريق الذخيرة,19,269,الخور,4921211,خدمة الليموزين
94687,نشط,02-MAR-17,01-MAR-22,133498,نشط,02-APR-17,23-SEP-21,ليموزين المانع,تجاري,مكتب تجاري,491,+97477031544,بلدية الدوحة,42,310,شارع المطار,132,43,الهلال,4921211,خدمة الليموزين
97041,نشط,12-APR-17,08-OCT-21,138854,نشط,01-AUG-17,22-JAN-22,جي بي ار ليموزين,تجاري,مكتب تجاري,,55565550,بلدية الدوحة,27,950,ام غويلينة,120,24,ام غويلينة,4921211,خدمة الليموزين
128003,نشط,02-JAN-19,01-JAN-22,167526,نشط,31-JAN-19,25-JAN-22,ليموزين الاجيال,تجاري,مكتب تجاري,,,بلدية الريان,55,180,راس زكريت,30,84,العزيزية,4921211,خدمة الليموزين
63223,نشط,05-DEC-13,03-DEC-21,97352,معلق,,22-FEB-22,راي للعقارات وتاجير السيارات,تجاري,مكتب تجاري,,+974,بلدية الريان,52,640,الشقب,25,61,الريان العتيق,4922901,تاجير السيارات بدون سائق
132060,نشط,25-MAR-19,20-SEP-21,175994,نشط,15-SEP-19,09-SEP-21,الصفوة ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,36,362,الجزيرة العربية,85,34,المسيلة,4921211,خدمة الليموزين
90292,نشط,01-DEC-16,01-DEC-21,132726,نشط,22-MAR-17,12-SEP-21,مشاوير الدوحة ليموزين,تجاري,مكتب تجاري,65209,+97455879790,بلدية الخور و الذخيرة,76,807,شارع 807,27,336,لغويرية,4921211,خدمة الليموزين
101394,منتهية,23-JUL-17,18-JAN-21,143616,معلق,26-NOV-17,20-NOV-21,لموزين الخط السريع,تجاري,مكتب تجاري,11153,+97466477388,بلدية الدوحة,24,840,الروابي,10,20,روضة الخيل,4921211,خدمة الليموزين
133196,منتهية,21-APR-19,17-OCT-20,173115,معلق,30-MAY-19,20-NOV-20,اليوسفية ليموزين,تجاري,مكتب تجاري,,,بلدية الشمال,78,820,ابو الظلوف,95,396,ابا الظلوف,4921211,خدمة الليموزين
91666,نشط,08-JAN-17,07-JAN-22,129231,نشط,17-JAN-17,11-JAN-22,ليموزين جولف,تجاري,مكتب تجاري,,+974,بلدية الريان,53,615,التوبة,77,65,الريان الجديد,4921211,خدمة الليموزين
46425/1,منتهية,26-APR-11,28-JUN-21,80132,منتهية,,04-JUN-21,النابغة الدولية لتأجير السيارات,تجاري,مكتب تجاري,11373,44151511/66660328,بلدية الدوحة,42,250,الدائر الرابع,110,43,الهلال,4922901,تاجير السيارات بدون سائق
118487,منتهية,05-JUN-18,01-DEC-20,159953,معلق,15-OCT-18,09-OCT-21,جلاكسي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,920,المنتزة,87,20,روضة الخيل,4921211,خدمة الليموزين
102353,نشط,13-AUG-17,08-FEB-22,139999,نشط,29-AUG-17,19-FEB-22,كوين كراون كونتراكتينغ اند سيرفيسس,تجاري,مكتب تجاري,18374,+97433339865,بلدية الدوحة,35,232,فريج كليب,203,33,فريج كليب,4922901,تاجير السيارات بدون سائق
90638,منتهية,12-DEC-16,11-DEC-20,127830,معلق,15-DEC-16,09-DEC-20,الخاص ليموزين,تجاري,مكتب تجاري,,+974,بلدية الخور و الذخيرة,74,880,ناصر بن عبدالله المسند,10,269,الخور,4921211,خدمة الليموزين
124484,نشط,22-OCT-18,21-OCT-21,162731,معلق,21-NOV-18,15-NOV-21,ليموزين المتحده,تجاري,محل تجارى,,+974,بلدية الريان,56,340,طريق سلوى,383,95,عين خالد,4921211,خدمة الليموزين
134272,نشط,19-MAY-19,14-NOV-21,173576,نشط,25-JUN-19,16-DEC-21,كلاوج ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,34,362,Al jazeera Al Arabiya,76,32,مدينة خليفة الجنوبية,4921211,خدمة الليموزين
124617,نشط,24-OCT-18,23-OCT-21,161728,معلق,07-NOV-18,01-NOV-21,ام ار اي لتأجير السيارات,تجاري,مكتب تجاري,,+97433366638,بلدية الدوحة,26,320,نجمه,11,23,نجمة,4922901,تاجير السيارات بدون سائق
98413,نشط,09-MAY-17,04-NOV-21,136893,نشط,30-MAY-17,20-NOV-21,فاست كاب ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,55,180,عثمان بن عفان,45,84,العزيزية,4921211,خدمة الليموزين
76870,نشط,03-NOV-15,01-NOV-21,126065,نشط,14-NOV-16,08-NOV-21,جيت ليموزين,تجاري,مكتب تجاري,207410,+97466839543,بلدية الظعاين,69,325,لوسيل,12,113,الخرايج,4921211,خدمة الليموزين
94289,نشط,26-FEB-17,25-FEB-22,97853,نشط,,02-MAR-22,لبيك للنقل والمواصلات,تجاري,مكتب تجاري,,,بلدية الدوحة,39,840,المرقاب الجديد,97,39,المرقاب الجديد,4921211,خدمة الليموزين
94314,نشط,26-FEB-17,25-FEB-22,131570,نشط,02-MAR-17,24-FEB-22,سيما ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,24,830,حطين,15,20,روضة الخيل,4921211,خدمة الليموزين
98608,نشط,14-MAY-17,09-NOV-21,149941,معلق,27-MAR-18,21-MAR-22,مايفير ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,965,شارع بروه التجاري,3,95,عين خالد,4921211,خدمة الليموزين
85866,نشط,28-JUL-16,23-JAN-22,121562,نشط,31-JUL-16,21-JAN-22,الصغرى لليموزين وتأجير السيارات,تجاري,مكتب تجاري,,+974,بلدية الدوحة,6,109,جبر بن محمد,44,8,الغانم العتيق,4921211,خدمة الليموزين
88344,نشط,12-OCT-16,11-OCT-21,125863,معلق,09-NOV-16,03-NOV-21,الانيق لتأجير السيارات,تجاري,مكتب تجاري,,+97466131975,بلدية الدوحة,24,840,الروابي,40,20,روضة الخيل,4922901,تاجير السيارات بدون سائق
83811/1,نشط,30-MAR-17,17-NOV-21,135746,معلق,08-MAY-17,29-OCT-21,هلو ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,طريق سلوى,445,95,عين خالد,4921211,خدمة الليموزين
93988,منتهية,21-FEB-17,21-FEB-20,131763,معلق,07-MAR-17,24-FEB-21,النخيل ليموزين,تجاري,مكتب تجاري,,,بلدية الشمال,78,820,ابا الظلوف,95,396,ابا الظلوف,4921211,خدمة الليموزين
96662,نشط,06-APR-17,02-OCT-21,134350,نشط,16-APR-17,07-OCT-21,ليموزين لبيك,تجاري,مكتب تجاري,,+974,بلدية الريان,51,780,ثاني بن جاسم,80,47,الغرافة,4921211,خدمة الليموزين
89743,نشط,20-NOV-16,19-NOV-21,127049,نشط,01-DEC-16,25-NOV-21,كلاسي ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,34,362,362,76,32,مدينة خليفة الجنوبية,4921211,خدمة الليموزين
92803,منتهية,30-JAN-17,30-JAN-20,129988,معلق,31-JAN-17,26-JAN-20,دكا لخدمات الليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,,ام الدوم,155,65,الريان الجديد,4921211,خدمة الليموزين
91578,نشط,05-JAN-17,04-JAN-22,139779,معلق,23-AUG-17,13-FEB-22,ليموزين الطريج,تجاري,مكتب تجاري,301332,+974,بلدية الدوحة,7,810,810,1,9,السوق,4921211,خدمة الليموزين
112210,منتهية,04-FEB-18,03-FEB-21,148347,معلق,25-FEB-18,19-FEB-21,لموزين المستقبل,تجاري,مكتب تجاري,,,بلدية الريان,53,740,التجاري,81,88,معيذر,4921211,خدمة الليموزين
102427,منتهية,14-AUG-17,09-FEB-21,140388,معلق,19-SEP-17,13-SEP-21,ليموزين بن غانم,تجاري,مكتب تجاري,,,بلدية ام صلال,71,301,الشيخ جاسم بن محمد,41,128,ام صلال محمد,4921211,خدمة الليموزين
83811,نشط,22-MAY-16,17-NOV-21,119668,نشط,08-JUN-16,29-NOV-21,هلو ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,طريق سلوى,445,95,عين خالد,4921211,خدمة الليموزين
92865,منتهية,31-JAN-17,31-JAN-20,130884,معلق,20-FEB-17,15-FEB-20,سيلا ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,652,شارع الرويضات,1,65,الريان الجديد,4921211,خدمة الليموزين
104674,نشط,10-OCT-17,09-OCT-21,157283,نشط,05-SEP-18,26-FEB-22,سعد صقر لخدمة الليموزين,تجاري,مكتب تجاري,,+97466541991,بلدية الدوحة,57,125,125,156,100,المنطقة الصناعية,4921211,خدمة الليموزين
53222,نشط,27-NOV-11,24-NOV-21,83072,نشط,,26-NOV-21,سنشري للمشاريع والخدمات,تجاري,مكتب تجاري,,+974,بلدية الخور و الذخيرة,74,880,الزبير بن العوام,88,269,الخور,4922901,تاجير السيارات بدون سائق
93666,منتهية,16-FEB-17,16-FEB-20,131521,معلق,01-MAR-17,24-FEB-20,هاواي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,45,310,المطار العتيق,272,44,المطار العتيق,4921211,خدمة الليموزين
95838,نشط,22-MAR-17,17-SEP-21,94545,نشط,,16-SEP-21,ليموزين البلد,تجاري,مكتب تجاري,,,بلدية ام صلال,71,726,محمد بن جاسم,11,128,ام صلال محمد,4921211,خدمة الليموزين
121716,نشط,30-AUG-18,25-FEB-22,161837,نشط,08-NOV-18,02-NOV-21,جرون ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,26,940,نجمة,20,23,نجمة,4921211,خدمة الليموزين
97346,نشط,19-APR-17,15-OCT-21,135342,نشط,02-MAY-17,23-OCT-21,ليموزين السعيدة,تجاري,مكتب تجاري,,+974,بلدية الريان,53,740,معيذر الشمالي,26,88,معيذر,4921211,خدمة الليموزين
46809,نشط,08-AUG-10,02-FEB-22,74663,نشط,,09-FEB-22,الأصدقاء للنقليات,تجاري,مكتب تجاري,6150,+55557581,بلدية الريان,51,787,ثاني بن جاسم,43,47,الغرافة,4922901,تاجير السيارات بدون سائق
108360,نشط,13-DEC-17,12-DEC-21,145909,معلق,10-JAN-18,04-JAN-22,بيناكل رنت ا كار,تجاري,محل تجارى,50075,+97477779897,بلدية الدوحة,47,,الشوفان,27,1000,لا يوجد,4922901,تاجير السيارات بدون سائق
91197,نشط,28-DEC-16,27-DEC-21,136024,نشط,14-MAY-17,04-NOV-21,ليموزين دوحة المجد,تجاري,مكتب تجاري,,+974,بلدية الريان,56,340,سلوى,299,97,المعمورة,4921211,خدمة الليموزين
92465,نشط,24-JAN-17,23-JAN-22,186385,نشط,05-OCT-20,30-SEP-21,هابي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,740,التجاري,64,88,معيذر,4921211,خدمة الليموزين
52464/2,نشط,19-AUG-14,23-SEP-21,101557,نشط,,22-FEB-22,ادرنة لتاجير السيارات,تجاري,مكتب تجاري,55476635,+974,بلدية الدوحة,24,950,ابن سينا,146,20,روضة الخيل,4922901,تاجير السيارات بدون سائق
108690,نشط,21-DEC-17,20-DEC-21,145264,معلق,28-DEC-17,22-DEC-21,وايت سوان ليموزين,تجاري,مكتب تجاري,,+97433777122,بلدية ام صلال,71,750,محمد بن جاسم,61,128,ام صلال محمد,4921211,خدمة الليموزين
46348,نشط,24-JUN-10,19-DEC-21,67150,نشط,,31-DEC-21,سايبرنت للتجارة,تجاري,مكتب تجاري,,+974,بلدية الدوحة,35,880,ابن عبادة,26,33,فريج كليب,4922901,تاجير السيارات بدون سائق
24041/8,نشط,15-MAY-14,11-OCT-21,101286,نشط,,07-FEB-22,بورصة لليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,24,220,الدائري الثاني,159,20,روضة الخيل,4921211,خدمة الليموزين
107640,نشط,03-DEC-17,02-DEC-21,145279,نشط,28-DEC-17,22-DEC-21,تريبل اس ليموزين,تجاري,مكتب تجاري,,+97455005143,بلدية الريان,51,620,معن بن عدي,17,49,غرافة الريان,4921211,خدمة الليموزين
134077,نشط,13-MAY-19,08-NOV-21,172796,نشط,23-MAY-19,13-NOV-21,بي دي ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,790,ام الدوم,154,88,معيذر,4921211,خدمة الليموزين
136554,نشط,30-JUL-19,25-JAN-22,176202,معلق,22-SEP-19,16-SEP-21,تاغ ان درايف ليموزين,تجاري,مكتب تجاري,,+974,بلدية الدوحة,42,230,الطريق الدائري الثالث,153,43,الهلال,4921211,خدمة الليموزين
137063,نشط,21-AUG-19,16-FEB-22,176385,معلق,26-SEP-19,20-SEP-21,تيم ليموزين,تجاري,مكتب تجاري,,+974,بلدية الشمال,78,820,ابا الظلوف,95,396,ابا الظلوف,4921211,خدمة الليموزين
125771,نشط,15-NOV-18,14-NOV-21,84274,نشط,,29-JAN-22,سوبر ليموزين سرفيس,تجاري,مكتب تجاري,,+974,بلدية الدوحة,35,880,ابن عبادة,26,33,فريج كليب,4921211,خدمة الليموزين
45275,نشط,23-FEB-14,24-MAR-22,97785,نشط,,24-FEB-23,ليموزين اللؤلؤة,تجاري,مكتب تجاري,,,بلدية الدوحة,32,960,مدينه خليفه,66,29,مدينة خليفة الشمالية,4921211,خدمة الليموزين
127763,نشط,27-DEC-18,26-DEC-21,91168,معلق,,10-MAR-22,بوليميرو ليموزين,تجاري,مكتب تجاري,,+974,بلدية الريان,53,740,معيذر,49,88,معيذر,4921211,خدمة الليموزين
138403,نشط,01-OCT-19,30-SEP-21,176801,نشط,09-OCT-19,03-OCT-21,ماي وي ليموزين,تجاري,مكتب تجاري,,,بلدية الدوحة,26,320,النجمة,11,23,نجمة,4921211,خدمة الليموزين
138997,نشط,20-OCT-19,19-OCT-21,54403,معلق,,30-NOV-21,البرق للموزين,تجاري,مكتب تجاري,5854,+97455818018,بلدية الدوحة,37,865,احمد بن علي,4,35,فريج بن عمران,4921211,خدمة الليموزين
